step,train_total,train_sup,train_adv,train_unsup,train_disc,val_loss,val_token_acc,pseudo_chunks,pseudo_notes
50,6.375295,6.375295,0.000000,0.000000,0.000000,,,0,0
100,5.869520,5.869520,0.000000,0.000000,0.000000,,,0,0
150,5.655355,5.655355,0.000000,0.000000,0.000000,,,0,0
200,5.435082,5.435082,0.000000,0.000000,0.000000,,,0,0
250,5.264275,5.264275,0.000000,0.000000,0.000000,,,0,0
300,5.143756,5.143756,0.000000,0.000000,0.000000,,,0,0
350,4.977110,4.977110,0.000000,0.000000,0.000000,,,0,0
400,4.834490,4.834490,0.000000,0.000000,0.000000,,,0,0
450,4.675701,4.675701,0.000000,0.000000,0.000000,,,0,0
500,4.573145,4.573145,0.000000,0.000000,0.000000,,,0,0
550,4.450080,4.450080,0.000000,0.000000,0.000000,,,0,0
600,4.387236,4.387236,0.000000,0.000000,0.000000,,,0,0
650,4.208427,4.208427,0.000000,0.000000,0.000000,,,0,0
700,4.147734,4.147734,0.000000,0.000000,0.000000,,,0,0
750,4.051648,4.051648,0.000000,0.000000,0.000000,,,0,0
800,3.938914,3.938914,0.000000,0.000000,0.000000,,,0,0
850,3.823869,3.823869,0.000000,0.000000,0.000000,,,0,0
900,3.757808,3.757808,0.000000,0.000000,0.000000,,,0,0
950,3.730118,3.730118,0.000000,0.000000,0.000000,,,0,0
1000,3.620872,3.620872,0.000000,0.000000,0.000000,,,0,0
1050,3.521468,3.521468,0.000000,0.000000,0.000000,,,0,0
1100,3.492894,3.492894,0.000000,0.000000,0.000000,,,0,0
1150,3.434101,3.434101,0.000000,0.000000,0.000000,,,0,0
1200,3.350630,3.350630,0.000000,0.000000,0.000000,,,0,0
1250,3.276681,3.276681,0.000000,0.000000,0.000000,,,0,0
1300,3.161554,3.161554,0.000000,0.000000,0.000000,,,0,0
1350,3.143322,3.143322,0.000000,0.000000,0.000000,,,0,0
1400,3.026345,3.026345,0.000000,0.000000,0.000000,,,0,0
1450,2.917256,2.917256,0.000000,0.000000,0.000000,,,0,0
1500,2.933055,2.933055,0.000000,0.000000,0.000000,,,0,0
1550,2.847483,2.847483,0.000000,0.000000,0.000000,,,0,0
1600,2.785060,2.785060,0.000000,0.000000,0.000000,,,0,0
1650,2.700230,2.700230,0.000000,0.000000,0.000000,,,0,0
1700,2.622729,2.622729,0.000000,0.000000,0.000000,,,0,0
1750,2.651949,2.651949,0.000000,0.000000,0.000000,,,0,0
1800,2.540732,2.540732,0.000000,0.000000,0.000000,,,0,0
1850,2.469010,2.469010,0.000000,0.000000,0.000000,,,0,0
1900,2.404197,2.404197,0.000000,0.000000,0.000000,,,0,0
1950,2.324356,2.324356,0.000000,0.000000,0.000000,,,0,0
2000,2.332615,2.332615,0.000000,0.000000,0.000000,,,0,0
2000,,,,,,3.130551,0.000000,,
2050,2.321236,2.321236,0.000000,0.000000,0.000000,,,0,0
2100,2.251507,2.251507,0.000000,0.000000,0.000000,,,0,0
2150,2.168311,2.168311,0.000000,0.000000,0.000000,,,0,0
2200,2.151962,2.151962,0.000000,0.000000,0.000000,,,0,0
2250,2.143640,2.143640,0.000000,0.000000,0.000000,,,0,0
2300,2.016161,2.016161,0.000000,0.000000,0.000000,,,0,0
2350,2.074443,2.074443,0.000000,0.000000,0.000000,,,0,0
2400,2.023008,2.023008,0.000000,0.000000,0.000000,,,0,0
2450,2.033017,2.033017,0.000000,0.000000,0.000000,,,0,0
2500,1.942674,1.942674,0.000000,0.000000,0.000000,,,0,0
2550,1.959827,1.959827,0.000000,0.000000,0.000000,,,0,0
2600,1.900208,1.900208,0.000000,0.000000,0.000000,,,0,0
2650,1.838110,1.838110,0.000000,0.000000,0.000000,,,0,0
2700,1.810571,1.810571,0.000000,0.000000,0.000000,,,0,0
2750,1.766774,1.766774,0.000000,0.000000,0.000000,,,0,0
2800,1.778246,1.778246,0.000000,0.000000,0.000000,,,0,0
2850,1.737064,1.737064,0.000000,0.000000,0.000000,,,0,0
