epoch,train_total,train_sup,train_adv,train_unsup,train_disc,val_loss,val_token_acc,pseudo_chunks,pseudo_notes
1,6.696320,6.696320,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
2,6.599474,6.599474,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
3,6.433936,6.433936,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
4,6.282716,6.282716,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
5,6.154603,6.154603,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
6,6.104939,6.104939,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
7,5.988829,5.988829,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
8,5.964123,5.964123,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
9,5.885786,5.885786,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
10,5.893804,5.893804,0.000000,0.000000,0.000000,5.937666,0.000000,0,0
11,5.798988,5.798988,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
12,5.775583,5.775583,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
13,5.801697,5.801697,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
14,5.741739,5.741739,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
15,5.712670,5.712670,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
16,5.687341,5.687341,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
17,5.650295,5.650295,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
18,5.585254,5.585254,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
19,5.601290,5.601290,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
20,5.450455,5.450455,0.000000,0.000000,0.000000,5.603207,0.000000,0,0
21,5.528938,5.528938,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
22,5.425693,5.425693,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
23,5.408151,5.408151,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
24,5.412150,5.412150,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
25,5.333031,5.333031,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
26,5.237898,5.237898,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
27,5.281517,5.281517,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
28,5.286827,5.286827,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
29,5.227377,5.227377,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
30,5.325832,5.325832,0.000000,0.000000,0.000000,5.375272,0.000000,0,0
31,5.206589,5.206589,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
32,5.151370,5.151370,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
33,5.155001,5.155001,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
34,5.131460,5.131460,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
35,5.118307,5.118307,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
36,5.035802,5.035802,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
37,5.027707,5.027707,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
38,5.082310,5.082310,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
39,4.956343,4.956343,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
40,4.952304,4.952304,0.000000,0.000000,0.000000,5.152797,0.000000,0,0
41,4.914937,4.914937,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
42,4.834443,4.834443,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
43,4.773416,4.773416,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
44,4.850277,4.850277,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
45,4.722889,4.722889,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
46,4.686354,4.686354,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
47,4.731144,4.731144,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
48,4.727059,4.727059,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
49,4.740007,4.740007,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
50,4.710957,4.710957,0.000000,0.000000,0.000000,4.903073,0.000000,0,0
51,4.635567,4.635567,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
52,4.509822,4.509822,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
53,4.550169,4.550169,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
54,4.431387,4.431387,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
55,4.506515,4.506515,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
56,4.633172,4.633172,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
57,4.598800,4.598800,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
58,4.495595,4.495595,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
59,4.439792,4.439792,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
60,4.377376,4.377376,0.000000,0.000000,0.000000,4.712313,0.000000,0,0
61,4.407206,4.407206,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
62,4.379455,4.379455,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
63,4.388204,4.388204,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
64,4.292397,4.292397,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
65,4.377038,4.377038,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
66,4.249467,4.249467,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
67,4.126629,4.126629,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
68,4.309419,4.309419,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
69,4.139031,4.139031,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
70,4.238770,4.238770,0.000000,0.000000,0.000000,4.497834,0.000000,0,0
71,4.191214,4.191214,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
72,4.225519,4.225519,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
73,4.229665,4.229665,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
74,4.132362,4.132362,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
75,4.179037,4.179037,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
76,4.078322,4.078322,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
77,4.136129,4.136129,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
78,4.127990,4.127990,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
79,4.091902,4.091902,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
80,3.970577,3.970577,0.000000,0.000000,0.000000,4.360229,0.000000,0,0
81,4.041805,4.041805,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
82,4.070495,4.070495,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
83,3.944163,3.944163,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
84,4.002586,4.002586,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
85,4.027491,4.027491,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
86,3.940988,3.940988,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
87,3.961393,3.961393,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
88,3.955914,3.955914,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
89,3.842629,3.842629,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
90,4.007579,4.007579,0.000000,0.000000,0.000000,4.216260,0.000000,0,0
91,3.908808,3.908808,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
92,4.037225,4.037225,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
93,3.905577,3.905577,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
94,3.871045,3.871045,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
95,3.708044,3.708044,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
96,3.866275,3.866275,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
97,3.779034,3.779034,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
98,3.867881,3.867881,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
99,3.811788,3.811788,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
100,3.771328,3.771328,0.000000,0.000000,0.000000,4.083924,0.000000,0,0
101,3.717454,3.717454,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
102,3.473102,3.473102,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
103,3.695856,3.695856,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
104,3.624406,3.624406,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
105,3.619662,3.619662,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
106,3.693997,3.693997,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
107,3.630884,3.630884,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
108,3.643362,3.643362,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
109,3.593756,3.593756,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
