step,train_total,train_sup,train_adv,train_unsup,train_disc,val_loss,val_token_acc,pseudo_chunks,pseudo_notes
50,6.220156,6.220156,0.000000,0.000000,0.000000,,,0,0
100,5.723949,5.723949,0.000000,0.000000,0.000000,,,0,0
150,5.439518,5.439518,0.000000,0.000000,0.000000,,,0,0
200,5.231926,5.231926,0.000000,0.000000,0.000000,,,0,0
250,5.046789,5.046789,0.000000,0.000000,0.000000,,,0,0
300,4.792309,4.792309,0.000000,0.000000,0.000000,,,0,0
350,4.597488,4.597488,0.000000,0.000000,0.000000,,,0,0
400,4.495948,4.495948,0.000000,0.000000,0.000000,,,0,0
450,4.315715,4.315715,0.000000,0.000000,0.000000,,,0,0
500,4.150328,4.150328,0.000000,0.000000,0.000000,,,0,0
550,4.023906,4.023906,0.000000,0.000000,0.000000,,,0,0
600,3.991766,3.991766,0.000000,0.000000,0.000000,,,0,0
650,3.897664,3.897664,0.000000,0.000000,0.000000,,,0,0
700,3.799840,3.799840,0.000000,0.000000,0.000000,,,0,0
750,3.688200,3.688200,0.000000,0.000000,0.000000,,,0,0
800,3.550158,3.550158,0.000000,0.000000,0.000000,,,0,0
850,3.415825,3.415825,0.000000,0.000000,0.000000,,,0,0
900,3.359218,3.359218,0.000000,0.000000,0.000000,,,0,0
950,3.344854,3.344854,0.000000,0.000000,0.000000,,,0,0
1000,3.235046,3.235046,0.000000,0.000000,0.000000,,,0,0
1050,3.135825,3.135825,0.000000,0.000000,0.000000,,,0,0
1100,3.074803,3.074803,0.000000,0.000000,0.000000,,,0,0
1150,3.010926,3.010926,0.000000,0.000000,0.000000,,,0,0
1200,2.937776,2.937776,0.000000,0.000000,0.000000,,,0,0
1250,2.827958,2.827958,0.000000,0.000000,0.000000,,,0,0
1300,2.699215,2.699215,0.000000,0.000000,0.000000,,,0,0
1350,2.658243,2.658243,0.000000,0.000000,0.000000,,,0,0
1400,2.579469,2.579469,0.000000,0.000000,0.000000,,,0,0
1450,2.489512,2.489512,0.000000,0.000000,0.000000,,,0,0
1500,2.485075,2.485075,0.000000,0.000000,0.000000,,,0,0
1550,2.427830,2.427830,0.000000,0.000000,0.000000,,,0,0
1600,2.343743,2.343743,0.000000,0.000000,0.000000,,,0,0
1650,2.283941,2.283941,0.000000,0.000000,0.000000,,,0,0
1700,2.213420,2.213420,0.000000,0.000000,0.000000,,,0,0
1750,2.213477,2.213477,0.000000,0.000000,0.000000,,,0,0
1800,2.121575,2.121575,0.000000,0.000000,0.000000,,,0,0
1850,2.093360,2.093360,0.000000,0.000000,0.000000,,,0,0
1900,2.047823,2.047823,0.000000,0.000000,0.000000,,,0,0
1950,1.953849,1.953849,0.000000,0.000000,0.000000,,,0,0
2000,1.986616,1.986616,0.000000,0.000000,0.000000,,,0,0
2000,,,,,,2.936508,0.000000,,
2050,1.966942,1.966942,0.000000,0.000000,0.000000,,,0,0
