epoch,train_total,train_sup,train_adv,train_unsup,train_disc,val_loss
1,6.710429,6.710429,0.000000,0.000000,0.000000,0.000000
2,6.616646,6.616646,0.000000,0.000000,0.000000,0.000000
3,6.433789,6.433789,0.000000,0.000000,0.000000,0.000000
4,6.281552,6.281552,0.000000,0.000000,0.000000,0.000000
5,6.141348,6.141348,0.000000,0.000000,0.000000,0.000000
6,6.057391,6.057391,0.000000,0.000000,0.000000,0.000000
7,5.959232,5.959232,0.000000,0.000000,0.000000,0.000000
8,5.920038,5.920038,0.000000,0.000000,0.000000,0.000000
9,5.885715,5.885715,0.000000,0.000000,0.000000,0.000000
10,5.862876,5.862876,0.000000,0.000000,0.000000,5.918059
11,5.786030,5.786030,0.000000,0.000000,0.000000,0.000000
12,5.736609,5.736609,0.000000,0.000000,0.000000,0.000000
13,5.763595,5.763595,0.000000,0.000000,0.000000,0.000000
14,5.691849,5.691849,0.000000,0.000000,0.000000,0.000000
15,5.696549,5.696549,0.000000,0.000000,0.000000,0.000000
16,5.679039,5.679039,0.000000,0.000000,0.000000,0.000000
17,5.621240,5.621240,0.000000,0.000000,0.000000,0.000000
18,5.586998,5.586998,0.000000,0.000000,0.000000,0.000000
19,5.554353,5.554353,0.000000,0.000000,0.000000,0.000000
20,5.419525,5.419525,0.000000,0.000000,0.000000,5.582572
21,5.474026,5.474026,0.000000,0.000000,0.000000,0.000000
22,5.417922,5.417922,0.000000,0.000000,0.000000,0.000000
23,5.415625,5.415625,0.000000,0.000000,0.000000,0.000000
24,5.428203,5.428203,0.000000,0.000000,0.000000,0.000000
25,5.314240,5.314240,0.000000,0.000000,0.000000,0.000000
26,5.237298,5.237298,0.000000,0.000000,0.000000,0.000000
27,5.267933,5.267933,0.000000,0.000000,0.000000,0.000000
28,5.294913,5.294913,0.000000,0.000000,0.000000,0.000000
29,5.207139,5.207139,0.000000,0.000000,0.000000,0.000000
30,5.284798,5.284798,0.000000,0.000000,0.000000,5.377533
31,5.182661,5.182661,0.000000,0.000000,0.000000,0.000000
32,5.119508,5.119508,0.000000,0.000000,0.000000,0.000000
33,5.192376,5.192376,0.000000,0.000000,0.000000,0.000000
34,5.102065,5.102065,0.000000,0.000000,0.000000,0.000000
35,5.099696,5.099696,0.000000,0.000000,0.000000,0.000000
36,5.039150,5.039150,0.000000,0.000000,0.000000,0.000000
37,5.036626,5.036626,0.000000,0.000000,0.000000,0.000000
38,5.039032,5.039032,0.000000,0.000000,0.000000,0.000000
39,4.942537,4.942537,0.000000,0.000000,0.000000,0.000000
40,4.925581,4.925581,0.000000,0.000000,0.000000,5.127764
41,4.884405,4.884405,0.000000,0.000000,0.000000,0.000000
42,4.818450,4.818450,0.000000,0.000000,0.000000,0.000000
43,4.775338,4.775338,0.000000,0.000000,0.000000,0.000000
44,4.856794,4.856794,0.000000,0.000000,0.000000,0.000000
45,4.712280,4.712280,0.000000,0.000000,0.000000,0.000000
46,4.664159,4.664159,0.000000,0.000000,0.000000,0.000000
47,4.702804,4.702804,0.000000,0.000000,0.000000,0.000000
48,4.714600,4.714600,0.000000,0.000000,0.000000,0.000000
49,4.711084,4.711084,0.000000,0.000000,0.000000,0.000000
50,4.666191,4.666191,0.000000,0.000000,0.000000,4.905163
51,4.594046,4.594046,0.000000,0.000000,0.000000,0.000000
52,4.493539,4.493539,0.000000,0.000000,0.000000,0.000000
53,4.564776,4.564776,0.000000,0.000000,0.000000,0.000000
54,4.413415,4.413415,0.000000,0.000000,0.000000,0.000000
55,4.484885,4.484885,0.000000,0.000000,0.000000,0.000000
56,4.597768,4.597768,0.000000,0.000000,0.000000,0.000000
57,4.530472,4.530472,0.000000,0.000000,0.000000,0.000000
58,4.493747,4.493747,0.000000,0.000000,0.000000,0.000000
