step,train_total,train_sup,train_adv,train_unsup,train_disc,val_loss,val_token_acc,pseudo_chunks,pseudo_notes
4550,1.295857,1.279859,1.599803,0.000000,1.200958,,,0,0
4600,1.262812,1.246867,1.594587,0.000000,1.241990,,,0,0
4650,1.278703,1.262828,1.587467,0.000000,1.194813,,,0,0
4700,1.265863,1.249963,1.590006,0.000000,1.181962,,,0,0
4750,1.236338,1.220478,1.585960,0.000000,1.254733,,,0,0
4800,1.282582,1.266703,1.587918,0.000000,1.256862,,,0,0
4850,1.223370,1.207572,1.579806,0.000000,1.216897,,,0,0
4900,1.239546,1.223716,1.582939,0.000000,1.240496,,,0,0
4950,1.252260,1.236203,1.605664,0.000000,1.220099,,,0,0
5000,1.186952,1.171078,1.587484,0.000000,1.182009,,,0,0
5000,,,,,,2.768916,0.000000,,
5050,1.238263,1.222219,1.604405,0.000000,1.202692,,,0,0
5100,1.171994,1.156210,1.578411,0.000000,1.206896,,,0,0
5150,1.235078,1.219233,1.584512,0.000000,1.260617,,,0,0
5200,1.149371,1.133486,1.588501,0.000000,1.182767,,,0,0
5250,1.173509,1.157501,1.600816,0.000000,1.265013,,,0,0
5300,1.152459,1.136640,1.581823,0.000000,1.230562,,,0,0
5350,1.138114,1.122136,1.597796,0.000000,1.204843,,,0,0
5400,1.120507,1.104466,1.604134,0.000000,1.196686,,,0,0
5450,1.178895,1.163173,1.572223,0.000000,1.190591,,,0,0
5500,1.160803,1.144734,1.606935,0.000000,1.222334,,,0,0
5550,1.132684,1.116584,1.609937,0.000000,1.236921,,,0,0
5600,1.101367,1.085176,1.619065,0.000000,1.220369,,,0,0
5650,1.108145,1.092106,1.603964,0.000000,1.210736,,,0,0
5700,1.107024,1.091002,1.602210,0.000000,1.205501,,,0,0
5750,1.103719,1.087262,1.645667,0.000000,1.168411,,,0,0
5800,1.104493,1.088420,1.607231,0.000000,1.206042,,,0,0
5850,1.120350,1.104535,1.581527,0.000000,1.167792,,,0,0
5900,1.095869,1.079781,1.608723,0.000000,1.168305,,,0,0
5950,1.100453,1.084306,1.614708,0.000000,1.254004,,,0,0
6000,1.027819,1.011678,1.614070,0.000000,1.193793,,,0,0
6000,,,,,,2.811770,0.000000,,
6050,1.111984,1.096020,1.596487,0.000000,1.192145,,,0,0
6100,1.053888,1.037584,1.630433,0.000000,1.174651,,,0,0
6150,1.070702,1.054633,1.606896,0.000000,1.264085,,,0,0
6200,1.009795,0.993978,1.581693,0.000000,1.230568,,,0,0
6250,1.064669,1.048540,1.612886,0.000000,1.171242,,,0,0
6300,1.044312,1.028248,1.606381,0.000000,1.218967,,,0,0
6350,1.080739,1.064740,1.599889,0.000000,1.197842,,,0,0
6400,1.069063,1.052931,1.613281,0.000000,1.155812,,,0,0
6450,1.040508,1.024464,1.604367,0.000000,1.184451,,,0,0
6500,1.023976,1.007874,1.610221,0.000000,1.156369,,,0,0
6550,1.033631,1.017377,1.625403,0.000000,1.202403,,,0,0
6600,1.006870,0.990694,1.617525,0.000000,1.256785,,,0,0
6650,1.016457,1.000298,1.615858,0.000000,1.231624,,,0,0
6700,1.034958,1.018855,1.610351,0.000000,1.181422,,,0,0
6750,0.999011,0.982934,1.607673,0.000000,1.229060,,,0,0
6800,1.015363,0.999253,1.611032,0.000000,1.242612,,,0,0
6850,0.990910,0.974494,1.641622,0.000000,1.189122,,,0,0
6900,0.984060,0.967854,1.620610,0.000000,1.201297,,,0,0
6950,1.007143,0.990984,1.615922,0.000000,1.188313,,,0,0
7000,0.970642,0.954583,1.605918,0.000000,1.159280,,,0,0
7000,,,,,,2.854552,0.000000,,
7050,1.030035,1.014031,1.600391,0.000000,1.161316,,,0,0
7100,0.983814,0.967692,1.612255,0.000000,1.190930,,,0,0
7150,0.975487,0.959179,1.630735,0.000000,1.202952,,,0,0
7200,0.954547,0.938135,1.641283,0.000000,1.187619,,,0,0
7250,0.984048,0.967911,1.613778,0.000000,1.169225,,,0,0
7300,0.965407,0.948733,1.667348,0.000000,1.102259,,,0,0
7350,0.930489,0.913861,1.662779,0.000000,1.202461,,,0,0
7400,0.981989,0.965349,1.663980,0.000000,1.108860,,,0,0
7450,0.947018,0.930743,1.627542,0.000000,1.152318,,,0,0
7500,0.920725,0.904100,1.662511,0.000000,1.103076,,,0,0
7550,0.924467,0.907798,1.666899,0.000000,1.118224,,,0,0
7600,0.954189,0.937700,1.648850,0.000000,1.161386,,,0,0
7650,0.937812,0.921419,1.639302,0.000000,1.135762,,,0,0
7700,0.948328,0.931705,1.662255,0.000000,1.138048,,,0,0
7750,0.925463,0.908726,1.673693,0.000000,1.148594,,,0,0
7800,0.938101,0.921285,1.681623,0.000000,1.174825,,,0,0
7850,0.898495,0.881719,1.677645,0.000000,1.141184,,,0,0
7900,0.906451,0.889818,1.663256,0.000000,1.128538,,,0,0
7950,0.920547,0.904019,1.652837,0.000000,1.138472,,,0,0
8000,0.923990,0.907251,1.673923,0.000000,1.098714,,,0,0
8000,,,,,,2.897276,0.000000,,
8050,0.890131,0.873539,1.659194,0.000000,1.183746,,,0,0
8100,0.928182,0.911739,1.644317,0.000000,1.150017,,,0,0
8150,0.891333,0.874844,1.648898,0.000000,1.171363,,,0,0
8200,0.918697,0.901794,1.690243,0.000000,1.136070,,,0,0
8250,0.920668,0.903978,1.668996,0.000000,1.185466,,,0,0
8300,0.925396,0.908337,1.705982,0.000000,1.165138,,,0,0
8350,0.917286,0.900402,1.688456,0.000000,1.092944,,,0,0
8400,0.918729,0.902159,1.657022,0.000000,1.096871,,,0,0
8450,0.908481,0.891733,1.674749,0.000000,1.120571,,,0,0
8500,0.895714,0.878884,1.682991,0.000000,1.128375,,,0,0
8550,0.903617,0.886820,1.679676,0.000000,1.162730,,,0,0
8600,0.867833,0.850889,1.694347,0.000000,1.126520,,,0,0
8650,0.890137,0.873198,1.693894,0.000000,1.124726,,,0,0
8700,0.881413,0.864611,1.680196,0.000000,1.136380,,,0,0
8750,0.881387,0.864586,1.680077,0.000000,1.137900,,,0,0
8800,0.892880,0.875746,1.713430,0.000000,1.071913,,,0,0
8850,0.883173,0.866049,1.712387,0.000000,1.119084,,,0,0
8900,0.889666,0.872523,1.714245,0.000000,1.145417,,,0,0
8950,0.893094,0.875723,1.737119,0.000000,1.145543,,,0,0
9000,0.902098,0.885021,1.707731,0.000000,1.084392,,,0,0
9000,,,,,,2.943583,0.000000,,
9050,0.873408,0.856076,1.733255,0.000000,1.117598,,,0,0
9100,0.876230,0.859250,1.698046,0.000000,1.096709,,,0,0
9150,0.871604,0.854468,1.713577,0.000000,1.081248,,,0,0
9200,0.890026,0.872670,1.735594,0.000000,1.124399,,,0,0
9250,0.891214,0.874045,1.716935,0.000000,1.146404,,,0,0
9300,0.903768,0.886331,1.743726,0.000000,1.132486,,,0,0
9350,0.878852,0.861319,1.753231,0.000000,1.043162,,,0,0
9400,0.857038,0.839912,1.712573,0.000000,1.110314,,,0,0
9450,0.891601,0.874442,1.715852,0.000000,1.158536,,,0,0
9500,0.859491,0.842264,1.722687,0.000000,1.075247,,,0,0
9550,0.866968,0.849643,1.732528,0.000000,1.073792,,,0,0
9600,0.884123,0.866716,1.740669,0.000000,1.053627,,,0,0
9650,0.871953,0.854707,1.724557,0.000000,1.114758,,,0,0
9700,0.878322,0.860960,1.736221,0.000000,1.107315,,,0,0
9750,0.888861,0.871333,1.752792,0.000000,1.041904,,,0,0
9800,0.865967,0.848186,1.778123,0.000000,1.151804,,,0,0
9850,0.864273,0.846884,1.738943,0.000000,1.105618,,,0,0
9900,0.827784,0.810344,1.744030,0.000000,1.109713,,,0,0
9950,0.878195,0.860481,1.771447,0.000000,1.038532,,,0,0
10000,0.835283,0.817379,1.790403,0.000000,1.081230,,,0,0
10000,,,,,,2.989140,0.425273,,
